Food_id,Food,Quantity,Measure,weight,unit,prep,GI,Water,Water (DV),Energy,Energy (DV),"Protein
(8g x body 
weight)",Protein (DV),"Total lipid 
(fat)",Total lipid (DV),Carbs,Carbs (DV),Fiber,Fiber (DV),"Sugars, 
total",Sugar (DV),Boron,Boron (DV),Calcium,Calcium (DV),Chloride,Chloride (DV),Chromium,Chromium (DV),Copper,Copper (DV),Fluoride,Fluoride (DV),Iodine,Iodine (DV),Iron,Iron (DV),Magnesium,Magnesium (DV),Manganese,Manganese (DV),Molybdenum,Molybdenum (DV),"Phosphorus, P",Phosphorus (DV),"Potassium, K",Potassium (DV),Selenium,Selenium (DV),Sodium,Sodium (DV),Zinc,Zinc (DV),Thiamin-B1,Thiamin-1 (DV),Riboflavin-B2,Riboflavin (DV),Niacin-B3,Niacin -B3 (DV),B-6,B-6 (DV),B-12,B12 (DV),Biotin-B7,Biotin-B7 (DV),Choline,"Choline
 (DV)","Folate, 
(B9)",Folate (DV),Pantothenic,"Pantothenic
 (DV)",Vitamin-C,Vitamin-C (DV),"Vitamin-A, 
RAE",Vitamin-A (DV),"Vitamin-D
 (IU)",Vitamin-D (DV),"Vitamin E 
(ATEl)",Vitamin E ATE-(DV),"Fatty acids, 
total saturated",Fatty saturated (DV),"Fatty acids, 
total mono","Fatty acids, 
total mono (DV)","Fatty acids, 
total poly","Fatty acids, 
total poly (DV)","Fatty acids, 
total trans","Fatty acids (DV)
total trans",Cholesterol,"Cholesterol 
(DV)",omega-3,"omega-3
(DV)",omega-6,"omega-6 
(DV)",Alanine,Arginine,Aspartic Acid,Cystenine,Glutamic Acid,Glycine,Histidine,Isoleucine,Leucine,Lysine,Methionine,Phenylalanine,Proline,Serine,Threonine,Tryptophan,Tyrosine,Valine
64,Beets_p25_cup,0.25,cup,11.5,grams,raw,very low,10.60375,0.005301875,3.565,0.0017825,0.11375,0.00203125,0.035,0.000432099,0.69375,0.0023125,0.23125,0.00925,0.4625,0.00925,0,0,0.805,0.000805,2.76,0.00138,0,0,0.0025,0.002777778,0,0,0.115,0.000766667,0.05,0.002777778,1.38,0.00345,0.0125,0.00625,0.575,0.012777778,3,0.004285714,24.265,0.006932857,0.01125,0.000204545,0.46,0.000306667,0.02875,0.002613636,0.00625,0.005208333,0.01,0.007692308,0.1125,0.00703125,0.03375,0.019852941,0,0,0,0,0.64375,0.001514706,5.29,0.013225,0.0375,0.0075,14.6875,0.195833333,18,0.02,0,0,0.18125,0.012083333,0.0025,0.000113636,0,0,0.0075,0.000441176,0,0,0,0,0.0025,0.001041667,0.005,0.000694444,0.0025,0.00375,0.0325,0.0025,0.02375,0.00375,0.0025,0.0025,0.00375,0.00375,0.00125,0.00625,0.0025,0.00625,0.005,0.00125,0.00125,0.00375
65,Beets_p5_cup,0.5,cup,85,grams,cooked,medium,74,0.037,37.5,0.01875,1.45,0.025892857,0.155,0.00191358,8.5,0.028333333,1.7,0.068,6.765,0.1353,0,0,13.6,0.0136,0,0,0,0,0.065,0.072222222,0,0,0,0,0.67,0.037222222,19.55,0.048875,0.275,0.1375,0,0,32.3,0.046142857,259.25,0.074071429,0.595,0.010818182,65.5,0.043666667,0.3,0.027272727,0.025,0.020833333,0.035,0.026923077,0.28,0.0175,0.055,0.032352941,0,0,0,0,5.355,0.0126,68,0.17,0.125,0.025,3.06,0.0408,1.5,0.001666667,0,0,0.035,0.002333333,0.025,0.001136364,0.03,0.001764706,0.055,0.003235294,0,0,0,0,0.005,0.002083333,0.05,0.006944444,0.055,0.035,0.105,0.015,0.38,0.03,0.02,0.04,0.06,0.05,0.015,0.04,0.035,0.055,0.04,0.015,0.035,0.05
66,Beets_1_cup,1,cup,170,grams,cooked,medium,148,0.074,75,0.0375,2.9,0.051785714,0.31,0.00382716,17,0.056666667,3.4,0.136,13.53,0.2706,0,0,27.2,0.0272,0,0,0,0,0.13,0.144444444,0,0,0,0,1.34,0.074444444,39.1,0.09775,0.55,0.275,0,0,64.6,0.092285714,518.5,0.148142857,1.19,0.021636364,131,0.087333333,0.6,0.054545455,0.05,0.041666667,0.07,0.053846154,0.56,0.035,0.11,0.064705882,0,0,0,0,10.71,0.0252,136,0.34,0.25,0.05,6.12,0.0816,3,0.003333333,0,0,0.07,0.004666667,0.05,0.002272727,0.06,0.003529412,0.11,0.006470588,0,0,0,0,0.01,0.004166667,0.1,0.013888889,0.11,0.07,0.21,0.03,0.76,0.06,0.04,0.08,0.12,0.1,0.03,0.08,0.07,0.11,0.08,0.03,0.07,0.1
67,Celery_1_cup,1,cup,100,grams,raw,very low,96.38,0.04819,16.16,0.00808,0.7,0.0125,0.17,0.002098765,3,0.01,1.4,0.056,1.6,0.032,221,0.073666667,40.4,0.0404,0,0,0.3,0.008571429,0.04,0.044444444,0,0,0,0,0.2,0.011111111,11.11,0.027775,0.1,0.05,5.05,0.112222222,24.24,0.034628571,262.6,0.075028571,0.4,0.007272727,80.8,0.053866667,0.13,0.011818182,0.02,0.016666667,0.06,0.046153846,0.32,0.02,0.07,0.041176471,0,0,0.1,0.003333333,6.16,0.014494118,36.36,0.0909,0.25,0.05,3.13,0.041733333,22.67,0.025188889,0,0,0.27,0.018,0.04,0.001818182,0.03,0.001764706,0.08,0.004705882,0,0,0,0,0,0,0.08,0.011111111,0.02,0.02,0.12,0,0.09,0.02,0.01,0.02,0.03,0.03,0.01,0.02,0.02,0.02,0.02,0.01,0.01,0.03
68,Celery_p5_cup,0.5,cup,50,grams,raw,very low,48.19,0.024095,8.08,0.00404,0.35,0.00625,0.085,0.001049383,1.5,0.005,0.7,0.028,0.8,0.016,110.5,0.036833333,20.2,0.0202,0,0,0.15,0.004285714,0.02,0.022222222,0,0,0,0,0.1,0.005555556,5.555,0.0138875,0.05,0.025,2.525,0.056111111,12.12,0.017314286,131.3,0.037514286,0.2,0.003636364,40.4,0.026933333,0.065,0.005909091,0.01,0.008333333,0.03,0.023076923,0.16,0.01,0.035,0.020588235,0,0,0.05,0.001666667,3.08,0.007247059,18.18,0.04545,0.125,0.025,1.565,0.020866667,11.335,0.012594444,0,0,0.135,0.009,0.02,0.000909091,0.015,0.000882353,0.04,0.002352941,0,0,0,0,0,0,0.04,0.005555556,0.01,0.01,0.06,0,0.045,0.01,0.005,0.01,0.015,0.015,0.005,0.01,0.01,0.01,0.01,0.005,0.005,0.015
69,Celery_p25_cup,0.25,cup,25,grams,raw,very low,24.095,0.0120475,4.04,0.00202,0.175,0.003125,0.0425,0.000524691,0.75,0.0025,0.35,0.014,0.4,0.008,55.25,0.018416667,10.1,0.0101,0,0,0.075,0.002142857,0.01,0.011111111,0,0,0,0,0.05,0.002777778,2.7775,0.00694375,0.025,0.0125,1.2625,0.028055556,6.06,0.008657143,65.65,0.018757143,0.1,0.001818182,20.2,0.013466667,0.0325,0.002954545,0.005,0.004166667,0.015,0.011538462,0.08,0.005,0.0175,0.010294118,0,0,0.025,0.000833333,1.54,0.003623529,9.09,0.022725,0.0625,0.0125,0.7825,0.010433333,5.6675,0.006297222,0,0,0.0675,0.0045,0.01,0.000454545,0.0075,0.000441176,0.02,0.001176471,0,0,0,0,0,0,0.02,0.002777778,0.005,0.005,0.03,0,0.0225,0.005,0.0025,0.005,0.0075,0.0075,0.0025,0.005,0.005,0.005,0.005,0.0025,0.0025,0.0075
70,Potato_1_cup,1,cup,173,grams,baked,high,130,0.065,161,0.0805,4.3,0.076785714,0.22,0.002716049,36.6,0.122,3.81,0.1524,2.04,0.0408,215.82,0.07194,25.95,0.02595,0,0,0,0,0.2,0.222222222,0,0,0,0,1.87,0.103888889,48.44,0.1211,0.38,0.19,0,0,121.1,0.173,925.55,0.264442857,0.69,0.012545455,17.3,0.011533333,0.62,0.056363636,0.11,0.091666667,0.08,0.061538462,2.44,0.1525,0.54,0.317647059,0,0,0,0,25.6,0.060235294,48.44,0.1211,0.65,0.13,16.61,0.221466667,0.86,0.000955556,0,0,0.07,0.004666667,0.06,0.002727273,0.01,0.000588235,0.1,0.005882353,0,0,0,0,0.02,0.008333333,0.07,0.009722222,0.13,0.21,1.01,0.05,0.74,0.12,0.07,0.14,0.21,0.22,0.07,0.17,0.13,0.16,0.14,0.04,0.1,0.22
71,Potato_p5_cup,0.5,cup,86.5,grams,baked,high,65,0.0325,80.5,0.04025,2.15,0.038392857,0.11,0.001358025,18.3,0.061,1.905,0.0762,1.02,0.0204,107.91,0.03597,12.975,0.012975,0,0,0,0,0.1,0.111111111,0,0,0,0,0.935,0.051944444,24.22,0.06055,0.19,0.095,0,0,60.55,0.0865,462.775,0.132221429,0.345,0.006272727,8.65,0.005766667,0.31,0.028181818,0.055,0.045833333,0.04,0.030769231,1.22,0.07625,0.27,0.158823529,0,0,0,0,12.8,0.030117647,24.22,0.06055,0.325,0.065,8.305,0.110733333,0.43,0.000477778,0,0,0.035,0.002333333,0.03,0.001363636,0.005,0.000294118,0.05,0.002941176,0,0,0,0,0.01,0.004166667,0.035,0.004861111,0.065,0.105,0.505,0.025,0.37,0.06,0.035,0.07,0.105,0.11,0.035,0.085,0.065,0.08,0.07,0.02,0.05,0.11
72,Potato_p25_cup,0.25,cup,43.25,grams,baked,high,32.5,0.01625,40.25,0.020125,1.075,0.019196429,0.055,0.000679012,9.15,0.0305,0.9525,0.0381,0.51,0.0102,53.955,0.017985,6.4875,0.0064875,0,0,0,0,0.05,0.055555556,0,0,0,0,0.4675,0.025972222,12.11,0.030275,0.095,0.0475,0,0,30.275,0.04325,231.3875,0.066110714,0.1725,0.003136364,4.325,0.002883333,0.155,0.014090909,0.0275,0.022916667,0.02,0.015384615,0.61,0.038125,0.135,0.079411765,0,0,0,0,6.4,0.015058824,12.11,0.030275,0.1625,0.0325,4.1525,0.055366667,0.215,0.000238889,0,0,0.0175,0.001166667,0.015,0.000681818,0.0025,0.000147059,0.025,0.001470588,0,0,0,0,0.005,0.002083333,0.0175,0.002430556,0.0325,0.0525,0.2525,0.0125,0.185,0.03,0.0175,0.035,0.0525,0.055,0.0175,0.0425,0.0325,0.04,0.035,0.01,0.025,0.055
73,Dill_p5_cup,0.5,cup,4.5,grams,raw,very low,3.82,0.00191,1.91,0.000955,0.15,0.002678571,0.05,0.000617284,0.31,0.001033333,0.09,0.0036,0,0,0,0,9.3,0.0093,0,0,0,0,0.01,0.011111111,0,0,0,0,0.3,0.016666667,2.45,0.006125,0.06,0.03,0,0,2.94,0.0042,33,0.009428571,0,0,2.7,0.0018,0.04,0.003636364,0,0,0.01,0.007692308,0.07,0.004375,0.01,0.005882353,0,0,0,0,0,0,6.7,0.01675,0.02,0.004,3.8,0.050666667,17.17,0.019077778,0,0,0,0,0,0,0.04,0.002352941,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.02,0,0.01,0.01,0,0.01,0.01,0.01,0,0,0.01,0.01,0,0,0,0.01
74,Dill_p25_cup,0.25,cup,2.25,grams,raw,very low,1.91,0.000955,0.955,0.0004775,0.075,0.001339286,0.025,0.000308642,0.155,0.000516667,0.045,0.0018,0,0,0,0,4.65,0.00465,0,0,0,0,0.005,0.005555556,0,0,0,0,0.15,0.008333333,1.225,0.0030625,0.03,0.015,0,0,1.47,0.0021,16.5,0.004714286,0,0,1.35,0.0009,0.02,0.001818182,0,0,0.005,0.003846154,0.035,0.0021875,0.005,0.002941176,0,0,0,0,0,0,3.35,0.008375,0.01,0.002,1.9,0.025333333,8.585,0.009538889,0,0,0,0,0,0,0.02,0.001176471,0,0,0,0,0,0,0,0,0,0,0.005,0.005,0.01,0,0.005,0.005,0,0.005,0.005,0.005,0,0,0.005,0.005,0,0,0,0.005
75,Sweet_potato_1_cup,1,cup,200,grams,cooked,medium,151,0.0755,180,0.09,4,0.071428571,0.3,0.003703704,41,0.136666667,6.6,0.264,13,0.26,215,0.071666667,76,0.076,170,0.085,0,0,0.32,0.355555556,0,0,6,0.04,1.4,0.077777778,54,0.135,1,0.5,0,0,108,0.154285714,950,0.271428571,0.4,0.007272727,72,0.048,0.64,0.058181818,0.21,0.175,0.21,0.161538462,3,0.1875,0.6,0.352941176,0,0,8.6,0.286666667,26,0.061176471,12,0.03,1.77,0.354,40,0.533333333,1921,2.134444444,0,0,1.42,0.094666667,0.07,0.003181818,0,0,0.13,0.007647059,0,0,0,0,0.01,0.004166667,0.12,0.016666667,0.2,0.14,0.98,0.06,0.4,0.16,0.08,0.14,0.24,0.17,0.07,0.23,0.13,0.23,0.21,0.08,0.09,0.22
76,Sweet_potato_p5_cup,0.5,cup,100,grams,cooked,medium,75.5,0.03775,90,0.045,2,0.035714286,0.15,0.001851852,20.5,0.068333333,3.3,0.132,6.5,0.13,107.5,0.035833333,38,0.038,85,0.0425,0,0,0.16,0.177777778,0,0,3,0.02,0.7,0.038888889,27,0.0675,0.5,0.25,0,0,54,0.077142857,475,0.135714286,0.2,0.003636364,36,0.024,0.32,0.029090909,0.105,0.0875,0.105,0.080769231,1.5,0.09375,0.3,0.176470588,0,0,4.3,0.143333333,13,0.030588235,6,0.015,0.885,0.177,20,0.266666667,960.5,1.067222222,0,0,0.71,0.047333333,0.035,0.001590909,0,0,0.065,0.003823529,0,0,0,0,0.005,0.002083333,0.06,0.008333333,0.1,0.07,0.49,0.03,0.2,0.08,0.04,0.07,0.12,0.085,0.035,0.115,0.065,0.115,0.105,0.04,0.045,0.11
77,Sweet_potato_p25_cup,0.25,cup,50,grams,cooked,medium,37.75,0.018875,45,0.0225,1,0.017857143,0.075,0.000925926,10.25,0.034166667,1.65,0.066,3.25,0.065,53.75,0.017916667,19,0.019,42.5,0.02125,0,0,0.08,0.088888889,0,0,1.5,0.01,0.35,0.019444444,13.5,0.03375,0.25,0.125,0,0,27,0.038571429,237.5,0.067857143,0.1,0.001818182,18,0.012,0.16,0.014545455,0.0525,0.04375,0.0525,0.040384615,0.75,0.046875,0.15,0.088235294,0,0,2.15,0.071666667,6.5,0.015294118,3,0.0075,0.4425,0.0885,10,0.133333333,480.25,0.533611111,0,0,0.355,0.023666667,0.0175,0.000795455,0,0,0.0325,0.001911765,0,0,0,0,0.0025,0.001041667,0.03,0.004166667,0.05,0.035,0.245,0.015,0.1,0.04,0.02,0.035,0.06,0.0425,0.0175,0.0575,0.0325,0.0575,0.0525,0.02,0.0225,0.055
78,Summer_squash_1_cup,1,cup,180,grams,cooked,very low,169,0.0845,36,0.018,1.64,0.029285714,0.56,0.00691358,7.76,0.025866667,2.52,0.1008,4.66,0.0932,0,0,48.6,0.0486,46.8,0.0234,0,0,0.19,0.211111111,0,0,0,0,0.65,0.036111111,43.2,0.108,0.38,0.19,0,0,70.2,0.100285714,345.6,0.098742857,0.36,0.006545455,1.8,0.0012,0.7,0.063636364,0.08,0.066666667,0.07,0.053846154,0.92,0.0575,0.12,0.070588235,0,0,0,0,14.22,0.033458824,36,0.09,0.25,0.05,9.9,0.132,19,0.021111111,0,0,0.25,0.016666667,0.12,0.005454545,0.04,0.002352941,0.24,0.014117647,0,0,0,0,0.15,0.0625,0.09,0.0125,0.09,0.07,0.2,0.02,0.17,0.06,0.04,0.06,0.1,0.09,0.02,0.06,0.05,0.07,0.04,0.01,0.04,0.07
79,Summer_squash_p5_cup,0.5,cup,90,grams,cooked,very low,84.5,0.04225,18,0.009,0.82,0.014642857,0.28,0.00345679,3.88,0.012933333,1.26,0.0504,2.33,0.0466,0,0,24.3,0.0243,23.4,0.0117,0,0,0.095,0.105555556,0,0,0,0,0.325,0.018055556,21.6,0.054,0.19,0.095,0,0,35.1,0.050142857,172.8,0.049371429,0.18,0.003272727,0.9,0.0006,0.35,0.031818182,0.04,0.033333333,0.035,0.026923077,0.46,0.02875,0.06,0.035294118,0,0,0,0,7.11,0.016729412,18,0.045,0.125,0.025,4.95,0.066,9.5,0.010555556,0,0,0.125,0.008333333,0.06,0.002727273,0.02,0.001176471,0.12,0.007058824,0,0,0,0,0.075,0.03125,0.045,0.00625,0.045,0.035,0.1,0.01,0.085,0.03,0.02,0.03,0.05,0.045,0.01,0.03,0.025,0.035,0.02,0.005,0.02,0.035
80,Summer_squash_p25_cup,0.25,cup,45,grams,cooked,very low,42.25,0.021125,9,0.0045,0.41,0.007321429,0.14,0.001728395,1.94,0.006466667,0.63,0.0252,1.165,0.0233,0,0,12.15,0.01215,11.7,0.00585,0,0,0.0475,0.052777778,0,0,0,0,0.1625,0.009027778,10.8,0.027,0.095,0.0475,0,0,17.55,0.025071429,86.4,0.024685714,0.09,0.001636364,0.45,0.0003,0.175,0.015909091,0.02,0.016666667,0.0175,0.013461538,0.23,0.014375,0.03,0.017647059,0,0,0,0,3.555,0.008364706,9,0.0225,0.0625,0.0125,2.475,0.033,4.75,0.005277778,0,0,0.0625,0.004166667,0.03,0.001363636,0.01,0.000588235,0.06,0.003529412,0,0,0,0,0.0375,0.015625,0.0225,0.003125,0.0225,0.0175,0.05,0.005,0.0425,0.015,0.01,0.015,0.025,0.0225,0.005,0.015,0.0125,0.0175,0.01,0.0025,0.01,0.0175
81,Winter_squash_1_cup,1,cup,205,grams,cooked,low,183,0.0915,75.85,0.037925,1.82,0.0325,0.72,0.008888889,18.14,0.060466667,5.74,0.2296,6.76,0.1352,0,0,45.1,0.0451,0,0,0,0,0.17,0.188888889,0,0,0,0,0.9,0.05,26.65,0.066625,0.38,0.19,0,0,39,0.055714286,494,0.141142857,0.82,0.014909091,2.05,0.001366667,0.45,0.040909091,0.03,0.025,0.14,0.107692308,1.46,0.09125,0.33,0.194117647,0,0,0,0,21.73,0.051129412,41,0.1025,0.48,0.096,19.68,0.2624,535,0.594444444,0,0,0.25,0.016666667,0.15,0.006818182,0.05,0.002941176,0.3,0.017647059,0,0,0,0,0.19,0.079166667,0.11,0.015277778,0.08,0.1,0.19,0.02,0.32,0.07,0.03,0.07,0.1,0.07,0.02,0.07,0.07,0.07,0.06,0.03,0.06,0.08
82,Asparagus_1_cup,1,cup,180,grams,cooked,very low,167,0.0835,40,0.02,4.3,0.076785714,0.4,0.004938272,7.4,0.024666667,3.6,0.144,2.34,0.0468,154,0.051333333,41.4,0.0414,198,0.099,0,0,0.3,0.333333333,0.04,0.01,0,0,1.64,0.091111111,25.2,0.063,0.28,0.14,0,0,97.2,0.138857143,403,0.115142857,11,0.2,25.2,0.0168,1,0.090909091,0.29,0.241666667,0.25,0.192307692,1.95,0.121875,0.14,0.082352941,0,0,0.72,0.024,47,0.110588235,268,0.67,0.4,0.08,13.9,0.185333333,90.5,0.100555556,0,0,2.7,0.18,0.09,0.004090909,0,0,0.19,0.011176471,0,0,0,0,0.05,0.020833333,0.14,0.019444444,0.22,0.18,1,0.06,0.46,0.18,0.1,0.15,0.25,0.2,0.06,0.15,0.14,0.21,0.17,0.05,0.1,0.22
83,Asparagus_p5_cup,0.5,cup,90,grams,cooked,very low,83.5,0.04175,20,0.01,2.15,0.038392857,0.2,0.002469136,3.7,0.012333333,1.8,0.072,1.17,0.0234,77,0.025666667,20.7,0.0207,99,0.0495,0,0,0.15,0.166666667,0.02,0.005,0,0,0.82,0.045555556,12.6,0.0315,0.14,0.07,0,0,48.6,0.069428571,201.5,0.057571429,5.5,0.1,12.6,0.0084,0.5,0.045454545,0.145,0.120833333,0.125,0.096153846,0.975,0.0609375,0.07,0.041176471,0,0,0.36,0.012,23.5,0.055294118,134,0.335,0.2,0.04,6.95,0.092666667,45.25,0.050277778,0,0,1.35,0.09,0.045,0.002045455,0,0,0.095,0.005588235,0,0,0,0,0.025,0.010416667,0.07,0.009722222,0.11,0.09,0.5,0.03,0.23,0.09,0.05,0.075,0.125,0.1,0.03,0.075,0.07,0.105,0.085,0.025,0.05,0.11
84,Asparagus_p25_cup,0.25,cup,45,grams,cooked,very low,41.75,0.020875,10,0.005,1.075,0.019196429,0.1,0.001234568,1.85,0.006166667,0.9,0.036,0.585,0.0117,38.5,0.012833333,10.35,0.01035,49.5,0.02475,0,0,0.075,0.083333333,0.01,0.0025,0,0,0.41,0.022777778,6.3,0.01575,0.07,0.035,0,0,24.3,0.034714286,100.75,0.028785714,2.75,0.05,6.3,0.0042,0.25,0.022727273,0.0725,0.060416667,0.0625,0.048076923,0.4875,0.03046875,0.035,0.020588235,0,0,0.18,0.006,11.75,0.027647059,67,0.1675,0.1,0.02,3.475,0.046333333,22.625,0.025138889,0,0,0.675,0.045,0.0225,0.001022727,0,0,0.0475,0.002794118,0,0,0,0,0.0125,0.005208333,0.035,0.004861111,0.055,0.045,0.25,0.015,0.115,0.045,0.025,0.0375,0.0625,0.05,0.015,0.0375,0.035,0.0525,0.0425,0.0125,0.025,0.055
85,Brussel_sprouts_1_cup,1,cup,156,grams,cooked,very low,138.7,0.06935,56.16,0.02808,4,0.071428571,0.8,0.009876543,11.1,0.037,4.06,0.1624,2.7,0.054,0,0,56.16,0.05616,0,0,0,0,0.13,0.144444444,0,0,0,0,1.87,0.103888889,31.2,0.078,0.35,0.175,0,0,87.36,0.1248,494.52,0.141291429,2.34,0.042545455,32.76,0.02184,0.5,0.045454545,0.17,0.141666667,0.12,0.092307692,0.95,0.059375,0.28,0.164705882,0,0,0,0,63.34,0.149035294,93.6,0.234,0.39,0.078,96.7,1.289333333,60.45,0.067166667,0,0,0.67,0.044666667,0.16,0.007272727,0.06,0.003529412,0.4,0.023529412,0,0,0,0,0.27,0.1125,0.13,0.018055556,0,0.24,0,0,0.09,0.16,0.09,0.16,0.18,0.18,0.04,0.12,0,0,0.14,0.04,0,0.18
86,Brussel_sprouts_p5_cup,0.5,cup,78,grams,cooked,very low,69.35,0.034675,28.08,0.01404,2,0.035714286,0.4,0.004938272,5.55,0.0185,2.03,0.0812,1.35,0.027,0,0,28.08,0.02808,0,0,0,0,0.065,0.072222222,0,0,0,0,0.935,0.051944444,15.6,0.039,0.175,0.0875,0,0,43.68,0.0624,247.26,0.070645714,1.17,0.021272727,16.38,0.01092,0.25,0.022727273,0.085,0.070833333,0.06,0.046153846,0.475,0.0296875,0.14,0.082352941,0,0,0,0,31.67,0.074517647,46.8,0.117,0.195,0.039,48.35,0.644666667,30.225,0.033583333,0,0,0.335,0.022333333,0.08,0.003636364,0.03,0.001764706,0.2,0.011764706,0,0,0,0,0.135,0.05625,0.065,0.009027778,0,0.12,0,0,0.045,0.08,0.045,0.08,0.09,0.09,0.02,0.06,0,0,0.07,0.02,0,0.09
87,Brussel_sprouts_p25_cup,0.25,cup,39,grams,cooked,very low,34.675,0.0173375,14.04,0.00702,1,0.017857143,0.2,0.002469136,2.775,0.00925,1.015,0.0406,0.675,0.0135,0,0,14.04,0.01404,0,0,0,0,0.0325,0.036111111,0,0,0,0,0.4675,0.025972222,7.8,0.0195,0.0875,0.04375,0,0,21.84,0.0312,123.63,0.035322857,0.585,0.010636364,8.19,0.00546,0.125,0.011363636,0.0425,0.035416667,0.03,0.023076923,0.2375,0.01484375,0.07,0.041176471,0,0,0,0,15.835,0.037258824,23.4,0.0585,0.0975,0.0195,24.175,0.322333333,15.1125,0.016791667,0,0,0.1675,0.011166667,0.04,0.001818182,0.015,0.000882353,0.1,0.005882353,0,0,0,0,0.0675,0.028125,0.0325,0.004513889,0,0.06,0,0,0.0225,0.04,0.0225,0.04,0.045,0.045,0.01,0.03,0,0,0.035,0.01,0,0.045
88,Green_peas_1_cup,1,cup,138,grams,cooked,low,107.3,0.05365,115.7,0.05785,7.4,0.132142857,0.3,0.003703704,21.5,0.071666667,7.6,0.304,8.17,0.1634,0,0,37.2,0.0372,11,0.0055,0.7,0.02,0.24,0.266666667,0,0,2.75,0.018333333,2.12,0.117777778,53.7,0.13425,0.72,0.36,6.9,0.153333333,161.17,0.230242857,373.3,0.106657143,2.62,0.047636364,4.13,0.002753333,1.64,0.149090909,0.36,0.3,0.21,0.161538462,3.63,0.226875,0.3,0.176470588,0,0,0.55,0.018333333,40.9,0.096235294,86.8,0.217,0.21,0.042,19.56,0.2608,55.17,0.0613,0,0,0.19,0.012666667,0.05,0.002272727,0.03,0.001764706,0.14,0.008235294,0,0,0,0,0.03,0.0125,0.11,0.015277778,0.33,0.58,0.67,0.04,1,0.25,0.14,0.27,0.44,0.43,0.11,0.27,0.24,0.25,0.28,0.05,0.15,0.32
89,Green_peas p5_cup,0.5,cup,69,grams,cooked,very low,53.65,0.026825,57.85,0.028925,3.7,0.066071429,0.15,0.001851852,10.75,0.035833333,3.8,0.152,4.085,0.0817,0,0,18.6,0.0186,5.5,0.00275,0.35,0.01,0.12,0.133333333,0,0,1.375,0.009166667,1.06,0.058888889,26.85,0.067125,0.36,0.18,3.45,0.076666667,80.585,0.115121429,186.65,0.053328571,1.31,0.023818182,2.065,0.001376667,0.82,0.074545455,0.18,0.15,0.105,0.080769231,1.815,0.1134375,0.15,0.088235294,0,0,0.275,0.009166667,20.45,0.048117647,43.4,0.1085,0.105,0.021,9.78,0.1304,27.585,0.03065,0,0,0.095,0.006333333,0.025,0.001136364,0.015,0.000882353,0.07,0.004117647,0,0,0,0,0.015,0.00625,0.055,0.007638889,0.165,0.29,0.335,0.02,0.5,0.125,0.07,0.135,0.22,0.215,0.055,0.135,0.12,0.125,0.14,0.025,0.075,0.16
90,Green_peas p25_cup,0.25,cup,34.5,grams,cooked,very low,26.825,0.0134125,28.925,0.0144625,1.85,0.033035714,0.075,0.000925926,5.375,0.017916667,1.9,0.076,2.0425,0.04085,0,0,9.3,0.0093,2.75,0.001375,0.175,0.005,0.06,0.066666667,0,0,0.6875,0.004583333,0.53,0.029444444,13.425,0.0335625,0.18,0.09,1.725,0.038333333,40.2925,0.057560714,93.325,0.026664286,0.655,0.011909091,1.0325,0.000688333,0.41,0.037272727,0.09,0.075,0.0525,0.040384615,0.9075,0.05671875,0.075,0.044117647,0,0,0.1375,0.004583333,10.225,0.024058824,21.7,0.05425,0.0525,0.0105,4.89,0.0652,13.7925,0.015325,0,0,0.0475,0.003166667,0.0125,0.000568182,0.0075,0.000441176,0.035,0.002058824,0,0,0,0,0.0075,0.003125,0.0275,0.003819444,0.0825,0.145,0.1675,0.01,0.25,0.0625,0.035,0.0675,0.11,0.1075,0.0275,0.0675,0.06,0.0625,0.07,0.0125,0.0375,0.08
91,Soy_beans_1_cup,1,cup,172,grams,cooked,very low,107.6,0.0538,297.6,0.1488,28.6,0.510714286,15.43,0.190493827,17.1,0.057,10.32,0.4128,5.16,0.1032,0,0,175.4,0.1754,0,0,0,0,0.7,0.777777778,0,0,0,0,8.8,0.488888889,148,0.37,1.42,0.71,129,2.866666667,421.4,0.602,885.8,0.253085714,12.56,0.228363636,1.72,0.001146667,1.98,0.18,0.27,0.225,0.49,0.376923077,0.7,0.04375,0.4,0.235294118,0,0,0,0,81.7,0.192235294,92.88,0.2322,0.31,0.062,2.92,0.038933333,0.77,0.000855556,0,0,0.6,0.04,2.23,0.101363636,3.41,0.200588235,8.71,0.512352941,0,0,0,0,1.03,0.429166667,7.68,1.066666667,1.27,2.1,3.4,0.44,5.24,1.25,0.73,1.3,2.2,1.8,0.36,1.4,1.58,1.57,1.18,0.39,1,1.35
